8,"SEQUENCE B","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","SEQ-B 1,SEQ-B 2,SEQ-B 3,SEQ-B 4,SEQ-B 5","17,18,19,20,87"
9,"SEQUENCE C"," SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN,  SINGLE RANDOM, DUAL UP, DUAL DOWN, DUAL UP&DOWN,  DUAL RANDOM, NOTE ORDER, GLISSANDO, BASS+UP 1, BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8, BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3, TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6","0,1,2,3,4,5,6,7,8,9,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","SEQ-C 1,SEQ-C 2","21,22"
35,"SEQUENCE D","SINGLE UP,SINGLE DOWN,SINGLE UP&DOWN,SINGLE RANDOM,DUAL UP,DUAL DOWN,DUAL UP&DOWN,DUAL RANDOM,NOTE ORDER,GLISSANDO,CHORD,BASS+CHORD 1,BASS+CHORD 2,BASS+CHORD 3,BASS+CHORD 4,BASS+CHORD 5,BASS+UP 1,BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8,BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3,TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6,BASS+UP+TOP,TRIPLE UP,TRIPLE DOWN,TRIPLE UP&DOWN,TRIPLE RANDOM","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37","SEQ-D 1,SEQ-D 2,SEQ-D 3,SEQ-D 4,SEQ-D 5,SEQ-D 6,SEQ-D 7,SEQ-D 8","88,89,90,91,92,93,94,95"
10,"ECHO"," SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN,  SINGLE RANDOM, DUAL UP, DUAL DOWN, DUAL UP&DOWN,  DUAL RANDOM, NOTE ORDER","0,1,2,3,4,5,6,7,8","ECHO 1,ECHO 2,ECHO 3","23,24,25"
11,"SYNTH BASS"," BASS+UP 2","17","SEQ-A 1, SEQ-C 1","10,21"
12,"SLAP BASS A","BASS+UP 5, TOP+UP 5","20,31","MUTE 02,MUTE 03","27,28"
13,"SLAP BASS B","BASS+UP 5, TOP+UP 5","20,31","MUTE 02,MUTE 03","27,28"
14,"WALK BASS","SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN,  SINGLE RANDOM, NOTE ORDER, GLISSANDO","0,1,2,3,8,9","WALKBS, REFRAIN1","57,51"
15,"RHYTHM GTR A","SINGLE UP, SINGLE DOWN, SINGLE UP&DOWN,  SINGLE RANDOM, DUAL UP, DUAL DOWN, DUAL UP&DOWN,  DUAL RANDOM, NOTE ORDER, BASS+UP 1, BASS+UP 2,BASS+UP 3,BASS+UP 4,BASS+UP 5,BASS+UP 6,BASS+UP 7,BASS+UP 8, BASS+RANDOM 1,BASS+RANDOM 2,BASS+RANDOM 3, TOP+UP 1,TOP+UP 2,TOP+UP 3,TOP+UP 4,TOP+UP 5,TOP+UP 6","0,1,2,3,4,5,6,7,8,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32","MUTE 01,MUTE 04","26,29"
16,"RHYTHM GTR B"," CHORD","10","MUTE 07, MUTE 13, MUTE 14","32,38,39"
17,"RHYTHM GTR C"," CHORD","10","MUTE 08, MUTE 12, MUTE 15","33,37,40"
18,"RHYTHM GTR D"," CHORD","10","MUTE 09, MUTE 10, MUTE 11, MUTE 16","34,35,36,41"
19,"RHYTHM GTR E"," SINGLE UP, SINGLE DOWN","0,1","STRUM 1,STRUM 2,STRUM 3,STRUM 4,STRUM 5,STRUM 6","42,43,44,45,46,47"
20,"3 FINGER GTR"," BASS+UP+TOP","33","SEQ-A 7","16"
